Inverse Logarithm Table for GF(2^10)
polynomial    | power 
1100000001 (decimal: 769) | alpha^434 
1000001011 (decimal: 523) | alpha^435 
0000011111 (decimal: 31) | alpha^436 
0000111110 (decimal: 62) | alpha^437 
0001111100 (decimal: 124) | alpha^438 
0011111000 (decimal: 248) | alpha^439 
0111110000 (decimal: 496) | alpha^440 
1111100000 (decimal: 992) | alpha^441 
1111001001 (decimal: 969) | alpha^442 
1110011011 (decimal: 923) | alpha^443 
1100111111 (decimal: 831) | alpha^444 
1001110111 (decimal: 631) | alpha^445 
0011100111 (decimal: 231) | alpha^446 
0111001110 (decimal: 462) | alpha^447 
1110011100 (decimal: 924) | alpha^448 
1100110001 (decimal: 817) | alpha^449 
1001101011 (decimal: 619) | alpha^450 
0011011111 (decimal: 223) | alpha^451 
0110111110 (decimal: 446) | alpha^452 
1101111100 (decimal: 892) | alpha^453 
1011110001 (decimal: 753) | alpha^454 
0111101011 (decimal: 491) | alpha^455 
1111010110 (decimal: 982) | alpha^456 
1110100101 (decimal: 933) | alpha^457 
1101000011 (decimal: 835) | alpha^458 
1010001111 (decimal: 655) | alpha^459 
0100010111 (decimal: 279) | alpha^460 
1000101110 (decimal: 558) | alpha^461 
0001010101 (decimal: 85) | alpha^462 
0010101010 (decimal: 170) | alpha^463 
0101010100 (decimal: 340) | alpha^464 
1010101000 (decimal: 680) | alpha^465 
0101011001 (decimal: 345) | alpha^466 
1010110010 (decimal: 690) | alpha^467 
0101101101 (decimal: 365) | alpha^468 
1011011010 (decimal: 730) | alpha^469 
0110111101 (decimal: 445) | alpha^470 
1101111010 (decimal: 890) | alpha^471 
1011111101 (decimal: 765) | alpha^472 
0111110011 (decimal: 499) | alpha^473 
1111100110 (decimal: 998) | alpha^474 
1111000101 (decimal: 965) | alpha^475 
1110000011 (decimal: 899) | alpha^476 
1100001111 (decimal: 783) | alpha^477 
1000010111 (decimal: 535) | alpha^478 
0000100111 (decimal: 39) | alpha^479 
0001001110 (decimal: 78) | alpha^480 
0010011100 (decimal: 156) | alpha^481 
0100111000 (decimal: 312) | alpha^482 
1001110000 (decimal: 624) | alpha^483 
0011101001 (decimal: 233) | alpha^484 
0111010010 (decimal: 466) | alpha^485 
1110100100 (decimal: 932) | alpha^486 
1101000001 (decimal: 833) | alpha^487 
1010001011 (decimal: 651) | alpha^488 
0100011111 (decimal: 287) | alpha^489 
1000111110 (decimal: 574) | alpha^490 
0001110101 (decimal: 117) | alpha^491 
0011101010 (decimal: 234) | alpha^492 
0111010100 (decimal: 468) | alpha^493 
1110101000 (decimal: 936) | alpha^494 
1101011001 (decimal: 857) | alpha^495 
1010111011 (decimal: 699) | alpha^496 
0101111111 (decimal: 383) | alpha^497 
1011111110 (decimal: 766) | alpha^498 
0111110101 (decimal: 501) | alpha^499 
1111101010 (decimal: 1002) | alpha^500 
1111011101 (decimal: 989) | alpha^501 
1110110011 (decimal: 947) | alpha^502 
1101101111 (decimal: 879) | alpha^503 
1011010111 (decimal: 727) | alpha^504 
0110100111 (decimal: 423) | alpha^505 
1101001110 (decimal: 846) | alpha^506 
1010010101 (decimal: 661) | alpha^507 
0100100011 (decimal: 291) | alpha^508 
1001000110 (decimal: 582) | alpha^509 
0010000101 (decimal: 133) | alpha^510 
0100001010 (decimal: 266) | alpha^511 
1000010100 (decimal: 532) | alpha^512 
0000100001 (decimal: 33) | alpha^513 
0001000010 (decimal: 66) | alpha^514 
0010000100 (decimal: 132) | alpha^515 
0100001000 (decimal: 264) | alpha^516 
1000010000 (decimal: 528) | alpha^517 
0000101001 (decimal: 41) | alpha^518 
0001010010 (decimal: 82) | alpha^519 
0010100100 (decimal: 164) | alpha^520 
0101001000 (decimal: 328) | alpha^521 
1010010000 (decimal: 656) | alpha^522 
0100101001 (decimal: 297) | alpha^523 
1001010010 (decimal: 594) | alpha^524 
0010101101 (decimal: 173) | alpha^525 
0101011010 (decimal: 346) | alpha^526 
1010110100 (decimal: 692) | alpha^527 
0101100001 (decimal: 353) | alpha^528 
1011000010 (decimal: 706) | alpha^529 
0110001101 (decimal: 397) | alpha^530 
1100011010 (decimal: 794) | alpha^531 
1000111101 (decimal: 573) | alpha^532 
0001110011 (decimal: 115) | alpha^533 
0011100110 (decimal: 230) | alpha^534 
0111001100 (decimal: 460) | alpha^535 
1110011000 (decimal: 920) | alpha^536 
1100111001 (decimal: 825) | alpha^537 
1001111011 (decimal: 635) | alpha^538 
0011111111 (decimal: 255) | alpha^539 
0111111110 (decimal: 510) | alpha^540 
1111111100 (decimal: 1020) | alpha^541 
1111110001 (decimal: 1009) | alpha^542 
1111101011 (decimal: 1003) | alpha^543 
1111011111 (decimal: 991) | alpha^544 
1110110111 (decimal: 951) | alpha^545 
1101100111 (decimal: 871) | alpha^546 
1011000111 (decimal: 711) | alpha^547 
0110000111 (decimal: 391) | alpha^548 
1100001110 (decimal: 782) | alpha^549 
1000010101 (decimal: 533) | alpha^550 
0000100011 (decimal: 35) | alpha^551 
0001000110 (decimal: 70) | alpha^552 
0010001100 (decimal: 140) | alpha^553 
0100011000 (decimal: 280) | alpha^554 
1000110000 (decimal: 560) | alpha^555 
0001101001 (decimal: 105) | alpha^556 
