Logarithm Table for GF(2^8)
power | polynomial 
alpha^145  |  01001101 (decimal: 77)
alpha^146  |  10011010 (decimal: 154)
alpha^147  |  00101001 (decimal: 41)
alpha^148  |  01010010 (decimal: 82)
alpha^149  |  10100100 (decimal: 164)
alpha^150  |  01010101 (decimal: 85)
alpha^151  |  10101010 (decimal: 170)
alpha^152  |  01001001 (decimal: 73)
alpha^153  |  10010010 (decimal: 146)
alpha^154  |  00111001 (decimal: 57)
alpha^155  |  01110010 (decimal: 114)
alpha^156  |  11100100 (decimal: 228)
alpha^157  |  11010101 (decimal: 213)
alpha^158  |  10110111 (decimal: 183)
alpha^159  |  01110011 (decimal: 115)
alpha^160  |  11100110 (decimal: 230)
alpha^161  |  11010001 (decimal: 209)
alpha^162  |  10111111 (decimal: 191)
alpha^163  |  01100011 (decimal: 99)
alpha^164  |  11000110 (decimal: 198)
alpha^165  |  10010001 (decimal: 145)
alpha^166  |  00111111 (decimal: 63)
alpha^167  |  01111110 (decimal: 126)
alpha^168  |  11111100 (decimal: 252)
alpha^169  |  11100101 (decimal: 229)
alpha^170  |  11010111 (decimal: 215)
alpha^171  |  10110011 (decimal: 179)
alpha^172  |  01111011 (decimal: 123)
alpha^173  |  11110110 (decimal: 246)
alpha^174  |  11110001 (decimal: 241)
alpha^175  |  11111111 (decimal: 255)
alpha^176  |  11100011 (decimal: 227)
alpha^177  |  11011011 (decimal: 219)
alpha^178  |  10101011 (decimal: 171)
alpha^179  |  01001011 (decimal: 75)
alpha^180  |  10010110 (decimal: 150)
alpha^181  |  00110001 (decimal: 49)
alpha^182  |  01100010 (decimal: 98)
alpha^183  |  11000100 (decimal: 196)
alpha^184  |  10010101 (decimal: 149)
alpha^185  |  00110111 (decimal: 55)
alpha^186  |  01101110 (decimal: 110)
alpha^187  |  11011100 (decimal: 220)
alpha^188  |  10100101 (decimal: 165)
alpha^189  |  01010111 (decimal: 87)
alpha^190  |  10101110 (decimal: 174)
alpha^191  |  01000001 (decimal: 65)
alpha^192  |  10000010 (decimal: 130)
alpha^193  |  00011001 (decimal: 25)
alpha^194  |  00110010 (decimal: 50)
alpha^195  |  01100100 (decimal: 100)
alpha^196  |  11001000 (decimal: 200)
alpha^197  |  10001101 (decimal: 141)
alpha^198  |  00000111 (decimal: 7)
alpha^199  |  00001110 (decimal: 14)
alpha^200  |  00011100 (decimal: 28)
alpha^201  |  00111000 (decimal: 56)
alpha^202  |  01110000 (decimal: 112)
alpha^203  |  11100000 (decimal: 224)
alpha^204  |  11011101 (decimal: 221)
alpha^205  |  10100111 (decimal: 167)
alpha^206  |  01010011 (decimal: 83)
alpha^207  |  10100110 (decimal: 166)
alpha^208  |  01010001 (decimal: 81)
alpha^209  |  10100010 (decimal: 162)
alpha^210  |  01011001 (decimal: 89)
alpha^211  |  10110010 (decimal: 178)
alpha^212  |  01111001 (decimal: 121)
alpha^213  |  11110010 (decimal: 242)
alpha^214  |  11111001 (decimal: 249)
alpha^215  |  11101111 (decimal: 239)
alpha^216  |  11000011 (decimal: 195)
alpha^217  |  10011011 (decimal: 155)
alpha^218  |  00101011 (decimal: 43)
alpha^219  |  01010110 (decimal: 86)
alpha^220  |  10101100 (decimal: 172)
alpha^221  |  01000101 (decimal: 69)
alpha^222  |  10001010 (decimal: 138)
alpha^223  |  00001001 (decimal: 9)
alpha^224  |  00010010 (decimal: 18)
alpha^225  |  00100100 (decimal: 36)
alpha^226  |  01001000 (decimal: 72)
alpha^227  |  10010000 (decimal: 144)
alpha^228  |  00111101 (decimal: 61)
alpha^229  |  01111010 (decimal: 122)
alpha^230  |  11110100 (decimal: 244)
alpha^231  |  11110101 (decimal: 245)
alpha^232  |  11110111 (decimal: 247)
alpha^233  |  11110011 (decimal: 243)
alpha^234  |  11111011 (decimal: 251)
alpha^235  |  11101011 (decimal: 235)
alpha^236  |  11001011 (decimal: 203)
alpha^237  |  10001011 (decimal: 139)
alpha^238  |  00001011 (decimal: 11)
alpha^239  |  00010110 (decimal: 22)
alpha^240  |  00101100 (decimal: 44)
alpha^241  |  01011000 (decimal: 88)
alpha^242  |  10110000 (decimal: 176)
alpha^243  |  01111101 (decimal: 125)
alpha^244  |  11111010 (decimal: 250)
alpha^245  |  11101001 (decimal: 233)
alpha^246  |  11001111 (decimal: 207)
alpha^247  |  10000011 (decimal: 131)
alpha^248  |  00011011 (decimal: 27)
alpha^249  |  00110110 (decimal: 54)
alpha^250  |  01101100 (decimal: 108)
alpha^251  |  11011000 (decimal: 216)
alpha^252  |  10101101 (decimal: 173)
alpha^253  |  01000111 (decimal: 71)
alpha^254  |  10001110 (decimal: 142)
case(power)
    8'd-1: poly = 8'd0;
    8'd0: poly = 8'd1;
    8'd1: poly = 8'd2;
    8'd2: poly = 8'd4;
    8'd3: poly = 8'd8;
    8'd4: poly = 8'd16;
    8'd5: poly = 8'd32;
    8'd6: poly = 8'd64;
    8'd7: poly = 8'd128;
    8'd8: poly = 8'd29;
    8'd9: poly = 8'd58;
    8'd10: poly = 8'd116;
    8'd11: poly = 8'd232;
    8'd12: poly = 8'd205;
    8'd13: poly = 8'd135;
    8'd14: poly = 8'd19;
    8'd15: poly = 8'd38;
    8'd16: poly = 8'd76;
    8'd17: poly = 8'd152;
    8'd18: poly = 8'd45;
    8'd19: poly = 8'd90;
    8'd20: poly = 8'd180;
    8'd21: poly = 8'd117;
    8'd22: poly = 8'd234;
    8'd23: poly = 8'd201;
    8'd24: poly = 8'd143;
    8'd25: poly = 8'd3;
    8'd26: poly = 8'd6;
    8'd27: poly = 8'd12;
    8'd28: poly = 8'd24;
    8'd29: poly = 8'd48;
    8'd30: poly = 8'd96;
    8'd31: poly = 8'd192;
    8'd32: poly = 8'd157;
    8'd33: poly = 8'd39;
    8'd34: poly = 8'd78;
    8'd35: poly = 8'd156;
    8'd36: poly = 8'd37;
    8'd37: poly = 8'd74;
    8'd38: poly = 8'd148;
    8'd39: poly = 8'd53;
    8'd40: poly = 8'd106;
    8'd41: poly = 8'd212;
    8'd42: poly = 8'd181;
    8'd43: poly = 8'd119;
    8'd44: poly = 8'd238;
    8'd45: poly = 8'd193;
    8'd46: poly = 8'd159;
    8'd47: poly = 8'd35;
    8'd48: poly = 8'd70;
    8'd49: poly = 8'd140;
    8'd50: poly = 8'd5;
    8'd51: poly = 8'd10;
    8'd52: poly = 8'd20;
    8'd53: poly = 8'd40;
    8'd54: poly = 8'd80;
    8'd55: poly = 8'd160;
    8'd56: poly = 8'd93;
    8'd57: poly = 8'd186;
    8'd58: poly = 8'd105;
    8'd59: poly = 8'd210;
    8'd60: poly = 8'd185;
    8'd61: poly = 8'd111;
    8'd62: poly = 8'd222;
    8'd63: poly = 8'd161;
    8'd64: poly = 8'd95;
    8'd65: poly = 8'd190;
    8'd66: poly = 8'd97;
    8'd67: poly = 8'd194;
    8'd68: poly = 8'd153;
    8'd69: poly = 8'd47;
    8'd70: poly = 8'd94;
    8'd71: poly = 8'd188;
    8'd72: poly = 8'd101;
    8'd73: poly = 8'd202;
    8'd74: poly = 8'd137;
    8'd75: poly = 8'd15;
    8'd76: poly = 8'd30;
    8'd77: poly = 8'd60;
    8'd78: poly = 8'd120;
    8'd79: poly = 8'd240;
    8'd80: poly = 8'd253;
    8'd81: poly = 8'd231;
    8'd82: poly = 8'd211;
    8'd83: poly = 8'd187;
    8'd84: poly = 8'd107;
    8'd85: poly = 8'd214;
    8'd86: poly = 8'd177;
    8'd87: poly = 8'd127;
    8'd88: poly = 8'd254;
    8'd89: poly = 8'd225;
    8'd90: poly = 8'd223;
    8'd91: poly = 8'd163;
    8'd92: poly = 8'd91;
    8'd93: poly = 8'd182;
    8'd94: poly = 8'd113;
    8'd95: poly = 8'd226;
    8'd96: poly = 8'd217;
    8'd97: poly = 8'd175;
    8'd98: poly = 8'd67;
    8'd99: poly = 8'd134;
    8'd100: poly = 8'd17;
    8'd101: poly = 8'd34;
    8'd102: poly = 8'd68;
    8'd103: poly = 8'd136;
    8'd104: poly = 8'd13;
    8'd105: poly = 8'd26;
    8'd106: poly = 8'd52;
    8'd107: poly = 8'd104;
    8'd108: poly = 8'd208;
    8'd109: poly = 8'd189;
    8'd110: poly = 8'd103;
    8'd111: poly = 8'd206;
    8'd112: poly = 8'd129;
    8'd113: poly = 8'd31;
    8'd114: poly = 8'd62;
    8'd115: poly = 8'd124;
    8'd116: poly = 8'd248;
    8'd117: poly = 8'd237;
    8'd118: poly = 8'd199;
    8'd119: poly = 8'd147;
    8'd120: poly = 8'd59;
    8'd121: poly = 8'd118;
    8'd122: poly = 8'd236;
    8'd123: poly = 8'd197;
    8'd124: poly = 8'd151;
    8'd125: poly = 8'd51;
    8'd126: poly = 8'd102;
    8'd127: poly = 8'd204;
    8'd128: poly = 8'd133;
    8'd129: poly = 8'd23;
    8'd130: poly = 8'd46;
    8'd131: poly = 8'd92;
    8'd132: poly = 8'd184;
    8'd133: poly = 8'd109;
    8'd134: poly = 8'd218;
    8'd135: poly = 8'd169;
    8'd136: poly = 8'd79;
    8'd137: poly = 8'd158;
    8'd138: poly = 8'd33;
    8'd139: poly = 8'd66;
    8'd140: poly = 8'd132;
    8'd141: poly = 8'd21;
    8'd142: poly = 8'd42;
    8'd143: poly = 8'd84;
    8'd144: poly = 8'd168;
    8'd145: poly = 8'd77;
    8'd146: poly = 8'd154;
    8'd147: poly = 8'd41;
    8'd148: poly = 8'd82;
    8'd149: poly = 8'd164;
    8'd150: poly = 8'd85;
    8'd151: poly = 8'd170;
    8'd152: poly = 8'd73;
    8'd153: poly = 8'd146;
    8'd154: poly = 8'd57;
    8'd155: poly = 8'd114;
    8'd156: poly = 8'd228;
    8'd157: poly = 8'd213;
    8'd158: poly = 8'd183;
    8'd159: poly = 8'd115;
    8'd160: poly = 8'd230;
    8'd161: poly = 8'd209;
    8'd162: poly = 8'd191;
    8'd163: poly = 8'd99;
    8'd164: poly = 8'd198;
    8'd165: poly = 8'd145;
    8'd166: poly = 8'd63;
    8'd167: poly = 8'd126;
    8'd168: poly = 8'd252;
    8'd169: poly = 8'd229;
    8'd170: poly = 8'd215;
    8'd171: poly = 8'd179;
    8'd172: poly = 8'd123;
    8'd173: poly = 8'd246;
    8'd174: poly = 8'd241;
    8'd175: poly = 8'd255;
    8'd176: poly = 8'd227;
    8'd177: poly = 8'd219;
    8'd178: poly = 8'd171;
    8'd179: poly = 8'd75;
    8'd180: poly = 8'd150;
    8'd181: poly = 8'd49;
    8'd182: poly = 8'd98;
    8'd183: poly = 8'd196;
    8'd184: poly = 8'd149;
    8'd185: poly = 8'd55;
    8'd186: poly = 8'd110;
    8'd187: poly = 8'd220;
    8'd188: poly = 8'd165;
    8'd189: poly = 8'd87;
    8'd190: poly = 8'd174;
    8'd191: poly = 8'd65;
    8'd192: poly = 8'd130;
    8'd193: poly = 8'd25;
    8'd194: poly = 8'd50;
    8'd195: poly = 8'd100;
    8'd196: poly = 8'd200;
    8'd197: poly = 8'd141;
    8'd198: poly = 8'd7;
    8'd199: poly = 8'd14;
    8'd200: poly = 8'd28;
    8'd201: poly = 8'd56;
    8'd202: poly = 8'd112;
    8'd203: poly = 8'd224;
    8'd204: poly = 8'd221;
    8'd205: poly = 8'd167;
    8'd206: poly = 8'd83;
    8'd207: poly = 8'd166;
    8'd208: poly = 8'd81;
    8'd209: poly = 8'd162;
    8'd210: poly = 8'd89;
    8'd211: poly = 8'd178;
    8'd212: poly = 8'd121;
    8'd213: poly = 8'd242;
    8'd214: poly = 8'd249;
    8'd215: poly = 8'd239;
    8'd216: poly = 8'd195;
    8'd217: poly = 8'd155;
    8'd218: poly = 8'd43;
    8'd219: poly = 8'd86;
    8'd220: poly = 8'd172;
    8'd221: poly = 8'd69;
    8'd222: poly = 8'd138;
    8'd223: poly = 8'd9;
    8'd224: poly = 8'd18;
    8'd225: poly = 8'd36;
    8'd226: poly = 8'd72;
    8'd227: poly = 8'd144;
    8'd228: poly = 8'd61;
    8'd229: poly = 8'd122;
    8'd230: poly = 8'd244;
    8'd231: poly = 8'd245;
    8'd232: poly = 8'd247;
    8'd233: poly = 8'd243;
    8'd234: poly = 8'd251;
    8'd235: poly = 8'd235;
    8'd236: poly = 8'd203;
    8'd237: poly = 8'd139;
    8'd238: poly = 8'd11;
    8'd239: poly = 8'd22;
    8'd240: poly = 8'd44;
    8'd241: poly = 8'd88;
    8'd242: poly = 8'd176;
    8'd243: poly = 8'd125;
    8'd244: poly = 8'd250;
    8'd245: poly = 8'd233;
    8'd246: poly = 8'd207;
    8'd247: poly = 8'd131;
    8'd248: poly = 8'd27;
    8'd249: poly = 8'd54;
    8'd250: poly = 8'd108;
    8'd251: poly = 8'd216;
    8'd252: poly = 8'd173;
    8'd253: poly = 8'd71;
    8'd254: poly = 8'd142;
endcase
