Logarithm Table for GF(2^8)
power | polynomial 
alpha^-1  |  00000000 (decimal: 0)
alpha^ 0  |  00000001 (decimal: 1)
alpha^ 1  |  00000010 (decimal: 2)
alpha^ 2  |  00000100 (decimal: 4)
alpha^ 3  |  00001000 (decimal: 8)
alpha^ 4  |  00010000 (decimal: 16)
alpha^ 5  |  00100000 (decimal: 32)
alpha^ 6  |  01000000 (decimal: 64)
alpha^ 7  |  10000000 (decimal: 128)
alpha^ 8  |  00011101 (decimal: 29)
alpha^ 9  |  00111010 (decimal: 58)
alpha^10  |  01110100 (decimal: 116)
alpha^11  |  11101000 (decimal: 232)
alpha^12  |  11001101 (decimal: 205)
alpha^13  |  10000111 (decimal: 135)
alpha^14  |  00010011 (decimal: 19)
alpha^15  |  00100110 (decimal: 38)
alpha^16  |  01001100 (decimal: 76)
alpha^17  |  10011000 (decimal: 152)
alpha^18  |  00101101 (decimal: 45)
alpha^19  |  01011010 (decimal: 90)
alpha^20  |  10110100 (decimal: 180)
alpha^21  |  01110101 (decimal: 117)
alpha^22  |  11101010 (decimal: 234)
alpha^23  |  11001001 (decimal: 201)
alpha^24  |  10001111 (decimal: 143)
alpha^25  |  00000011 (decimal: 3)
alpha^26  |  00000110 (decimal: 6)
alpha^27  |  00001100 (decimal: 12)
alpha^28  |  00011000 (decimal: 24)
alpha^29  |  00110000 (decimal: 48)
alpha^30  |  01100000 (decimal: 96)
alpha^31  |  11000000 (decimal: 192)
alpha^32  |  10011101 (decimal: 157)
alpha^33  |  00100111 (decimal: 39)
alpha^34  |  01001110 (decimal: 78)
alpha^35  |  10011100 (decimal: 156)
alpha^36  |  00100101 (decimal: 37)
alpha^37  |  01001010 (decimal: 74)
alpha^38  |  10010100 (decimal: 148)
alpha^39  |  00110101 (decimal: 53)
alpha^40  |  01101010 (decimal: 106)
alpha^41  |  11010100 (decimal: 212)
alpha^42  |  10110101 (decimal: 181)
alpha^43  |  01110111 (decimal: 119)
alpha^44  |  11101110 (decimal: 238)
alpha^45  |  11000001 (decimal: 193)
alpha^46  |  10011111 (decimal: 159)
alpha^47  |  00100011 (decimal: 35)
alpha^48  |  01000110 (decimal: 70)
alpha^49  |  10001100 (decimal: 140)
alpha^50  |  00000101 (decimal: 5)
alpha^51  |  00001010 (decimal: 10)
alpha^52  |  00010100 (decimal: 20)
alpha^53  |  00101000 (decimal: 40)
alpha^54  |  01010000 (decimal: 80)
alpha^55  |  10100000 (decimal: 160)
alpha^56  |  01011101 (decimal: 93)
alpha^57  |  10111010 (decimal: 186)
alpha^58  |  01101001 (decimal: 105)
alpha^59  |  11010010 (decimal: 210)
alpha^60  |  10111001 (decimal: 185)
alpha^61  |  01101111 (decimal: 111)
alpha^62  |  11011110 (decimal: 222)
alpha^63  |  10100001 (decimal: 161)
alpha^64  |  01011111 (decimal: 95)
alpha^65  |  10111110 (decimal: 190)
alpha^66  |  01100001 (decimal: 97)
alpha^67  |  11000010 (decimal: 194)
alpha^68  |  10011001 (decimal: 153)
alpha^69  |  00101111 (decimal: 47)
alpha^70  |  01011110 (decimal: 94)
alpha^71  |  10111100 (decimal: 188)
alpha^72  |  01100101 (decimal: 101)
alpha^73  |  11001010 (decimal: 202)
alpha^74  |  10001001 (decimal: 137)
alpha^75  |  00001111 (decimal: 15)
alpha^76  |  00011110 (decimal: 30)
alpha^77  |  00111100 (decimal: 60)
alpha^78  |  01111000 (decimal: 120)
alpha^79  |  11110000 (decimal: 240)
alpha^80  |  11111101 (decimal: 253)
alpha^81  |  11100111 (decimal: 231)
alpha^82  |  11010011 (decimal: 211)
alpha^83  |  10111011 (decimal: 187)
alpha^84  |  01101011 (decimal: 107)
alpha^85  |  11010110 (decimal: 214)
alpha^86  |  10110001 (decimal: 177)
alpha^87  |  01111111 (decimal: 127)
alpha^88  |  11111110 (decimal: 254)
alpha^89  |  11100001 (decimal: 225)
alpha^90  |  11011111 (decimal: 223)
alpha^91  |  10100011 (decimal: 163)
alpha^92  |  01011011 (decimal: 91)
alpha^93  |  10110110 (decimal: 182)
alpha^94  |  01110001 (decimal: 113)
alpha^95  |  11100010 (decimal: 226)
alpha^96  |  11011001 (decimal: 217)
alpha^97  |  10101111 (decimal: 175)
alpha^98  |  01000011 (decimal: 67)
alpha^99  |  10000110 (decimal: 134)
alpha^100  |  00010001 (decimal: 17)
alpha^101  |  00100010 (decimal: 34)
alpha^102  |  01000100 (decimal: 68)
alpha^103  |  10001000 (decimal: 136)
alpha^104  |  00001101 (decimal: 13)
alpha^105  |  00011010 (decimal: 26)
alpha^106  |  00110100 (decimal: 52)
alpha^107  |  01101000 (decimal: 104)
alpha^108  |  11010000 (decimal: 208)
alpha^109  |  10111101 (decimal: 189)
alpha^110  |  01100111 (decimal: 103)
alpha^111  |  11001110 (decimal: 206)
alpha^112  |  10000001 (decimal: 129)
alpha^113  |  00011111 (decimal: 31)
alpha^114  |  00111110 (decimal: 62)
alpha^115  |  01111100 (decimal: 124)
alpha^116  |  11111000 (decimal: 248)
alpha^117  |  11101101 (decimal: 237)
alpha^118  |  11000111 (decimal: 199)
alpha^119  |  10010011 (decimal: 147)
alpha^120  |  00111011 (decimal: 59)
alpha^121  |  01110110 (decimal: 118)
alpha^122  |  11101100 (decimal: 236)
alpha^123  |  11000101 (decimal: 197)
alpha^124  |  10010111 (decimal: 151)
alpha^125  |  00110011 (decimal: 51)
alpha^126  |  01100110 (decimal: 102)
alpha^127  |  11001100 (decimal: 204)
alpha^128  |  10000101 (decimal: 133)
alpha^129  |  00010111 (decimal: 23)
alpha^130  |  00101110 (decimal: 46)
alpha^131  |  01011100 (decimal: 92)
alpha^132  |  10111000 (decimal: 184)
alpha^133  |  01101101 (decimal: 109)
alpha^134  |  11011010 (decimal: 218)
alpha^135  |  10101001 (decimal: 169)
alpha^136  |  01001111 (decimal: 79)
alpha^137  |  10011110 (decimal: 158)
alpha^138  |  00100001 (decimal: 33)
alpha^139  |  01000010 (decimal: 66)
alpha^140  |  10000100 (decimal: 132)
alpha^141  |  00010101 (decimal: 21)
alpha^142  |  00101010 (decimal: 42)
alpha^143  |  01010100 (decimal: 84)
alpha^144  |  10101000 (decimal: 168)
