Inverse Logarithm Table for GF(2^8)
polynomial    | power 
00000000 (decimal:  0) | alpha^-1 
00000001 (decimal:  1) | alpha^ 0 
00000010 (decimal:  2) | alpha^ 1 
00000100 (decimal:  4) | alpha^ 2 
00001000 (decimal:  8) | alpha^ 3 
00010000 (decimal: 16) | alpha^ 4 
00100000 (decimal: 32) | alpha^ 5 
01000000 (decimal: 64) | alpha^ 6 
10000000 (decimal: 128) | alpha^ 7 
00011101 (decimal: 29) | alpha^ 8 
00111010 (decimal: 58) | alpha^ 9 
01110100 (decimal: 116) | alpha^10 
11101000 (decimal: 232) | alpha^11 
11001101 (decimal: 205) | alpha^12 
10000111 (decimal: 135) | alpha^13 
00010011 (decimal: 19) | alpha^14 
00100110 (decimal: 38) | alpha^15 
01001100 (decimal: 76) | alpha^16 
10011000 (decimal: 152) | alpha^17 
00101101 (decimal: 45) | alpha^18 
01011010 (decimal: 90) | alpha^19 
10110100 (decimal: 180) | alpha^20 
01110101 (decimal: 117) | alpha^21 
11101010 (decimal: 234) | alpha^22 
11001001 (decimal: 201) | alpha^23 
10001111 (decimal: 143) | alpha^24 
00000011 (decimal:  3) | alpha^25 
00000110 (decimal:  6) | alpha^26 
00001100 (decimal: 12) | alpha^27 
00011000 (decimal: 24) | alpha^28 
00110000 (decimal: 48) | alpha^29 
01100000 (decimal: 96) | alpha^30 
11000000 (decimal: 192) | alpha^31 
10011101 (decimal: 157) | alpha^32 
00100111 (decimal: 39) | alpha^33 
01001110 (decimal: 78) | alpha^34 
10011100 (decimal: 156) | alpha^35 
00100101 (decimal: 37) | alpha^36 
01001010 (decimal: 74) | alpha^37 
10010100 (decimal: 148) | alpha^38 
00110101 (decimal: 53) | alpha^39 
01101010 (decimal: 106) | alpha^40 
11010100 (decimal: 212) | alpha^41 
10110101 (decimal: 181) | alpha^42 
01110111 (decimal: 119) | alpha^43 
11101110 (decimal: 238) | alpha^44 
11000001 (decimal: 193) | alpha^45 
10011111 (decimal: 159) | alpha^46 
00100011 (decimal: 35) | alpha^47 
01000110 (decimal: 70) | alpha^48 
10001100 (decimal: 140) | alpha^49 
00000101 (decimal:  5) | alpha^50 
00001010 (decimal: 10) | alpha^51 
00010100 (decimal: 20) | alpha^52 
00101000 (decimal: 40) | alpha^53 
01010000 (decimal: 80) | alpha^54 
10100000 (decimal: 160) | alpha^55 
01011101 (decimal: 93) | alpha^56 
10111010 (decimal: 186) | alpha^57 
01101001 (decimal: 105) | alpha^58 
11010010 (decimal: 210) | alpha^59 
10111001 (decimal: 185) | alpha^60 
01101111 (decimal: 111) | alpha^61 
11011110 (decimal: 222) | alpha^62 
10100001 (decimal: 161) | alpha^63 
01011111 (decimal: 95) | alpha^64 
10111110 (decimal: 190) | alpha^65 
01100001 (decimal: 97) | alpha^66 
11000010 (decimal: 194) | alpha^67 
10011001 (decimal: 153) | alpha^68 
00101111 (decimal: 47) | alpha^69 
01011110 (decimal: 94) | alpha^70 
10111100 (decimal: 188) | alpha^71 
01100101 (decimal: 101) | alpha^72 
11001010 (decimal: 202) | alpha^73 
10001001 (decimal: 137) | alpha^74 
00001111 (decimal: 15) | alpha^75 
00011110 (decimal: 30) | alpha^76 
00111100 (decimal: 60) | alpha^77 
01111000 (decimal: 120) | alpha^78 
11110000 (decimal: 240) | alpha^79 
11111101 (decimal: 253) | alpha^80 
11100111 (decimal: 231) | alpha^81 
11010011 (decimal: 211) | alpha^82 
10111011 (decimal: 187) | alpha^83 
01101011 (decimal: 107) | alpha^84 
11010110 (decimal: 214) | alpha^85 
10110001 (decimal: 177) | alpha^86 
01111111 (decimal: 127) | alpha^87 
11111110 (decimal: 254) | alpha^88 
11100001 (decimal: 225) | alpha^89 
11011111 (decimal: 223) | alpha^90 
10100011 (decimal: 163) | alpha^91 
01011011 (decimal: 91) | alpha^92 
10110110 (decimal: 182) | alpha^93 
01110001 (decimal: 113) | alpha^94 
11100010 (decimal: 226) | alpha^95 
11011001 (decimal: 217) | alpha^96 
10101111 (decimal: 175) | alpha^97 
01000011 (decimal: 67) | alpha^98 
10000110 (decimal: 134) | alpha^99 
00010001 (decimal: 17) | alpha^100 
