Inverse Logarithm Table for GF(2^8)
polynomial    | power 
00100010 (decimal: 34) | alpha^101 
01000100 (decimal: 68) | alpha^102 
10001000 (decimal: 136) | alpha^103 
00001101 (decimal: 13) | alpha^104 
00011010 (decimal: 26) | alpha^105 
00110100 (decimal: 52) | alpha^106 
01101000 (decimal: 104) | alpha^107 
11010000 (decimal: 208) | alpha^108 
10111101 (decimal: 189) | alpha^109 
01100111 (decimal: 103) | alpha^110 
11001110 (decimal: 206) | alpha^111 
10000001 (decimal: 129) | alpha^112 
00011111 (decimal: 31) | alpha^113 
00111110 (decimal: 62) | alpha^114 
01111100 (decimal: 124) | alpha^115 
11111000 (decimal: 248) | alpha^116 
11101101 (decimal: 237) | alpha^117 
11000111 (decimal: 199) | alpha^118 
10010011 (decimal: 147) | alpha^119 
00111011 (decimal: 59) | alpha^120 
01110110 (decimal: 118) | alpha^121 
11101100 (decimal: 236) | alpha^122 
11000101 (decimal: 197) | alpha^123 
10010111 (decimal: 151) | alpha^124 
00110011 (decimal: 51) | alpha^125 
01100110 (decimal: 102) | alpha^126 
11001100 (decimal: 204) | alpha^127 
10000101 (decimal: 133) | alpha^128 
00010111 (decimal: 23) | alpha^129 
00101110 (decimal: 46) | alpha^130 
01011100 (decimal: 92) | alpha^131 
10111000 (decimal: 184) | alpha^132 
01101101 (decimal: 109) | alpha^133 
11011010 (decimal: 218) | alpha^134 
10101001 (decimal: 169) | alpha^135 
01001111 (decimal: 79) | alpha^136 
10011110 (decimal: 158) | alpha^137 
00100001 (decimal: 33) | alpha^138 
01000010 (decimal: 66) | alpha^139 
10000100 (decimal: 132) | alpha^140 
00010101 (decimal: 21) | alpha^141 
00101010 (decimal: 42) | alpha^142 
01010100 (decimal: 84) | alpha^143 
10101000 (decimal: 168) | alpha^144 
01001101 (decimal: 77) | alpha^145 
10011010 (decimal: 154) | alpha^146 
00101001 (decimal: 41) | alpha^147 
01010010 (decimal: 82) | alpha^148 
10100100 (decimal: 164) | alpha^149 
01010101 (decimal: 85) | alpha^150 
10101010 (decimal: 170) | alpha^151 
01001001 (decimal: 73) | alpha^152 
10010010 (decimal: 146) | alpha^153 
00111001 (decimal: 57) | alpha^154 
01110010 (decimal: 114) | alpha^155 
11100100 (decimal: 228) | alpha^156 
11010101 (decimal: 213) | alpha^157 
10110111 (decimal: 183) | alpha^158 
01110011 (decimal: 115) | alpha^159 
11100110 (decimal: 230) | alpha^160 
11010001 (decimal: 209) | alpha^161 
10111111 (decimal: 191) | alpha^162 
01100011 (decimal: 99) | alpha^163 
11000110 (decimal: 198) | alpha^164 
10010001 (decimal: 145) | alpha^165 
00111111 (decimal: 63) | alpha^166 
01111110 (decimal: 126) | alpha^167 
11111100 (decimal: 252) | alpha^168 
11100101 (decimal: 229) | alpha^169 
11010111 (decimal: 215) | alpha^170 
10110011 (decimal: 179) | alpha^171 
01111011 (decimal: 123) | alpha^172 
11110110 (decimal: 246) | alpha^173 
11110001 (decimal: 241) | alpha^174 
11111111 (decimal: 255) | alpha^175 
11100011 (decimal: 227) | alpha^176 
11011011 (decimal: 219) | alpha^177 
10101011 (decimal: 171) | alpha^178 
01001011 (decimal: 75) | alpha^179 
10010110 (decimal: 150) | alpha^180 
00110001 (decimal: 49) | alpha^181 
01100010 (decimal: 98) | alpha^182 
11000100 (decimal: 196) | alpha^183 
10010101 (decimal: 149) | alpha^184 
00110111 (decimal: 55) | alpha^185 
01101110 (decimal: 110) | alpha^186 
11011100 (decimal: 220) | alpha^187 
10100101 (decimal: 165) | alpha^188 
01010111 (decimal: 87) | alpha^189 
10101110 (decimal: 174) | alpha^190 
01000001 (decimal: 65) | alpha^191 
10000010 (decimal: 130) | alpha^192 
00011001 (decimal: 25) | alpha^193 
00110010 (decimal: 50) | alpha^194 
01100100 (decimal: 100) | alpha^195 
11001000 (decimal: 200) | alpha^196 
10001101 (decimal: 141) | alpha^197 
00000111 (decimal:  7) | alpha^198 
00001110 (decimal: 14) | alpha^199 
00011100 (decimal: 28) | alpha^200 
00111000 (decimal: 56) | alpha^201 
01110000 (decimal: 112) | alpha^202 
11100000 (decimal: 224) | alpha^203 
11011101 (decimal: 221) | alpha^204 
10100111 (decimal: 167) | alpha^205 
01010011 (decimal: 83) | alpha^206 
10100110 (decimal: 166) | alpha^207 
01010001 (decimal: 81) | alpha^208 
10100010 (decimal: 162) | alpha^209 
01011001 (decimal: 89) | alpha^210 
10110010 (decimal: 178) | alpha^211 
01111001 (decimal: 121) | alpha^212 
11110010 (decimal: 242) | alpha^213 
11111001 (decimal: 249) | alpha^214 
11101111 (decimal: 239) | alpha^215 
11000011 (decimal: 195) | alpha^216 
10011011 (decimal: 155) | alpha^217 
00101011 (decimal: 43) | alpha^218 
01010110 (decimal: 86) | alpha^219 
10101100 (decimal: 172) | alpha^220 
01000101 (decimal: 69) | alpha^221 
10001010 (decimal: 138) | alpha^222 
00001001 (decimal:  9) | alpha^223 
00010010 (decimal: 18) | alpha^224 
00100100 (decimal: 36) | alpha^225 
01001000 (decimal: 72) | alpha^226 
10010000 (decimal: 144) | alpha^227 
00111101 (decimal: 61) | alpha^228 
01111010 (decimal: 122) | alpha^229 
11110100 (decimal: 244) | alpha^230 
11110101 (decimal: 245) | alpha^231 
11110111 (decimal: 247) | alpha^232 
11110011 (decimal: 243) | alpha^233 
11111011 (decimal: 251) | alpha^234 
11101011 (decimal: 235) | alpha^235 
11001011 (decimal: 203) | alpha^236 
10001011 (decimal: 139) | alpha^237 
00001011 (decimal: 11) | alpha^238 
00010110 (decimal: 22) | alpha^239 
00101100 (decimal: 44) | alpha^240 
01011000 (decimal: 88) | alpha^241 
10110000 (decimal: 176) | alpha^242 
01111101 (decimal: 125) | alpha^243 
11111010 (decimal: 250) | alpha^244 
11101001 (decimal: 233) | alpha^245 
11001111 (decimal: 207) | alpha^246 
10000011 (decimal: 131) | alpha^247 
00011011 (decimal: 27) | alpha^248 
00110110 (decimal: 54) | alpha^249 
01101100 (decimal: 108) | alpha^250 
11011000 (decimal: 216) | alpha^251 
10101101 (decimal: 173) | alpha^252 
01000111 (decimal: 71) | alpha^253 
10001110 (decimal: 142) | alpha^254 
case(poly)
    8'd0: power = 8'd-1;
    8'd1: power = 8'd0;
    8'd2: power = 8'd1;
    8'd4: power = 8'd2;
    8'd8: power = 8'd3;
    8'd16: power = 8'd4;
    8'd32: power = 8'd5;
    8'd64: power = 8'd6;
    8'd128: power = 8'd7;
    8'd29: power = 8'd8;
    8'd58: power = 8'd9;
    8'd116: power = 8'd10;
    8'd232: power = 8'd11;
    8'd205: power = 8'd12;
    8'd135: power = 8'd13;
    8'd19: power = 8'd14;
    8'd38: power = 8'd15;
    8'd76: power = 8'd16;
    8'd152: power = 8'd17;
    8'd45: power = 8'd18;
    8'd90: power = 8'd19;
    8'd180: power = 8'd20;
    8'd117: power = 8'd21;
    8'd234: power = 8'd22;
    8'd201: power = 8'd23;
    8'd143: power = 8'd24;
    8'd3: power = 8'd25;
    8'd6: power = 8'd26;
    8'd12: power = 8'd27;
    8'd24: power = 8'd28;
    8'd48: power = 8'd29;
    8'd96: power = 8'd30;
    8'd192: power = 8'd31;
    8'd157: power = 8'd32;
    8'd39: power = 8'd33;
    8'd78: power = 8'd34;
    8'd156: power = 8'd35;
    8'd37: power = 8'd36;
    8'd74: power = 8'd37;
    8'd148: power = 8'd38;
    8'd53: power = 8'd39;
    8'd106: power = 8'd40;
    8'd212: power = 8'd41;
    8'd181: power = 8'd42;
    8'd119: power = 8'd43;
    8'd238: power = 8'd44;
    8'd193: power = 8'd45;
    8'd159: power = 8'd46;
    8'd35: power = 8'd47;
    8'd70: power = 8'd48;
    8'd140: power = 8'd49;
    8'd5: power = 8'd50;
    8'd10: power = 8'd51;
    8'd20: power = 8'd52;
    8'd40: power = 8'd53;
    8'd80: power = 8'd54;
    8'd160: power = 8'd55;
    8'd93: power = 8'd56;
    8'd186: power = 8'd57;
    8'd105: power = 8'd58;
    8'd210: power = 8'd59;
    8'd185: power = 8'd60;
    8'd111: power = 8'd61;
    8'd222: power = 8'd62;
    8'd161: power = 8'd63;
    8'd95: power = 8'd64;
    8'd190: power = 8'd65;
    8'd97: power = 8'd66;
    8'd194: power = 8'd67;
    8'd153: power = 8'd68;
    8'd47: power = 8'd69;
    8'd94: power = 8'd70;
    8'd188: power = 8'd71;
    8'd101: power = 8'd72;
    8'd202: power = 8'd73;
    8'd137: power = 8'd74;
    8'd15: power = 8'd75;
    8'd30: power = 8'd76;
    8'd60: power = 8'd77;
    8'd120: power = 8'd78;
    8'd240: power = 8'd79;
    8'd253: power = 8'd80;
    8'd231: power = 8'd81;
    8'd211: power = 8'd82;
    8'd187: power = 8'd83;
    8'd107: power = 8'd84;
    8'd214: power = 8'd85;
    8'd177: power = 8'd86;
    8'd127: power = 8'd87;
    8'd254: power = 8'd88;
    8'd225: power = 8'd89;
    8'd223: power = 8'd90;
    8'd163: power = 8'd91;
    8'd91: power = 8'd92;
    8'd182: power = 8'd93;
    8'd113: power = 8'd94;
    8'd226: power = 8'd95;
    8'd217: power = 8'd96;
    8'd175: power = 8'd97;
    8'd67: power = 8'd98;
    8'd134: power = 8'd99;
    8'd17: power = 8'd100;
    8'd34: power = 8'd101;
    8'd68: power = 8'd102;
    8'd136: power = 8'd103;
    8'd13: power = 8'd104;
    8'd26: power = 8'd105;
    8'd52: power = 8'd106;
    8'd104: power = 8'd107;
    8'd208: power = 8'd108;
    8'd189: power = 8'd109;
    8'd103: power = 8'd110;
    8'd206: power = 8'd111;
    8'd129: power = 8'd112;
    8'd31: power = 8'd113;
    8'd62: power = 8'd114;
    8'd124: power = 8'd115;
    8'd248: power = 8'd116;
    8'd237: power = 8'd117;
    8'd199: power = 8'd118;
    8'd147: power = 8'd119;
    8'd59: power = 8'd120;
    8'd118: power = 8'd121;
    8'd236: power = 8'd122;
    8'd197: power = 8'd123;
    8'd151: power = 8'd124;
    8'd51: power = 8'd125;
    8'd102: power = 8'd126;
    8'd204: power = 8'd127;
    8'd133: power = 8'd128;
    8'd23: power = 8'd129;
    8'd46: power = 8'd130;
    8'd92: power = 8'd131;
    8'd184: power = 8'd132;
    8'd109: power = 8'd133;
    8'd218: power = 8'd134;
    8'd169: power = 8'd135;
    8'd79: power = 8'd136;
    8'd158: power = 8'd137;
    8'd33: power = 8'd138;
    8'd66: power = 8'd139;
    8'd132: power = 8'd140;
    8'd21: power = 8'd141;
    8'd42: power = 8'd142;
    8'd84: power = 8'd143;
    8'd168: power = 8'd144;
    8'd77: power = 8'd145;
    8'd154: power = 8'd146;
    8'd41: power = 8'd147;
    8'd82: power = 8'd148;
    8'd164: power = 8'd149;
    8'd85: power = 8'd150;
    8'd170: power = 8'd151;
    8'd73: power = 8'd152;
    8'd146: power = 8'd153;
    8'd57: power = 8'd154;
    8'd114: power = 8'd155;
    8'd228: power = 8'd156;
    8'd213: power = 8'd157;
    8'd183: power = 8'd158;
    8'd115: power = 8'd159;
    8'd230: power = 8'd160;
    8'd209: power = 8'd161;
    8'd191: power = 8'd162;
    8'd99: power = 8'd163;
    8'd198: power = 8'd164;
    8'd145: power = 8'd165;
    8'd63: power = 8'd166;
    8'd126: power = 8'd167;
    8'd252: power = 8'd168;
    8'd229: power = 8'd169;
    8'd215: power = 8'd170;
    8'd179: power = 8'd171;
    8'd123: power = 8'd172;
    8'd246: power = 8'd173;
    8'd241: power = 8'd174;
    8'd255: power = 8'd175;
    8'd227: power = 8'd176;
    8'd219: power = 8'd177;
    8'd171: power = 8'd178;
    8'd75: power = 8'd179;
    8'd150: power = 8'd180;
    8'd49: power = 8'd181;
    8'd98: power = 8'd182;
    8'd196: power = 8'd183;
    8'd149: power = 8'd184;
    8'd55: power = 8'd185;
    8'd110: power = 8'd186;
    8'd220: power = 8'd187;
    8'd165: power = 8'd188;
    8'd87: power = 8'd189;
    8'd174: power = 8'd190;
    8'd65: power = 8'd191;
    8'd130: power = 8'd192;
    8'd25: power = 8'd193;
    8'd50: power = 8'd194;
    8'd100: power = 8'd195;
    8'd200: power = 8'd196;
    8'd141: power = 8'd197;
    8'd7: power = 8'd198;
    8'd14: power = 8'd199;
    8'd28: power = 8'd200;
    8'd56: power = 8'd201;
    8'd112: power = 8'd202;
    8'd224: power = 8'd203;
    8'd221: power = 8'd204;
    8'd167: power = 8'd205;
    8'd83: power = 8'd206;
    8'd166: power = 8'd207;
    8'd81: power = 8'd208;
    8'd162: power = 8'd209;
    8'd89: power = 8'd210;
    8'd178: power = 8'd211;
    8'd121: power = 8'd212;
    8'd242: power = 8'd213;
    8'd249: power = 8'd214;
    8'd239: power = 8'd215;
    8'd195: power = 8'd216;
    8'd155: power = 8'd217;
    8'd43: power = 8'd218;
    8'd86: power = 8'd219;
    8'd172: power = 8'd220;
    8'd69: power = 8'd221;
    8'd138: power = 8'd222;
    8'd9: power = 8'd223;
    8'd18: power = 8'd224;
    8'd36: power = 8'd225;
    8'd72: power = 8'd226;
    8'd144: power = 8'd227;
    8'd61: power = 8'd228;
    8'd122: power = 8'd229;
    8'd244: power = 8'd230;
    8'd245: power = 8'd231;
    8'd247: power = 8'd232;
    8'd243: power = 8'd233;
    8'd251: power = 8'd234;
    8'd235: power = 8'd235;
    8'd203: power = 8'd236;
    8'd139: power = 8'd237;
    8'd11: power = 8'd238;
    8'd22: power = 8'd239;
    8'd44: power = 8'd240;
    8'd88: power = 8'd241;
    8'd176: power = 8'd242;
    8'd125: power = 8'd243;
    8'd250: power = 8'd244;
    8'd233: power = 8'd245;
    8'd207: power = 8'd246;
    8'd131: power = 8'd247;
    8'd27: power = 8'd248;
    8'd54: power = 8'd249;
    8'd108: power = 8'd250;
    8'd216: power = 8'd251;
    8'd173: power = 8'd252;
    8'd71: power = 8'd253;
    8'd142: power = 8'd254;
endcase
