Logarithm Table for GF(2^10)
power | polynomial 
alpha^142  |  1111011100 (decimal: 988)
alpha^143  |  1110110001 (decimal: 945)
alpha^144  |  1101101011 (decimal: 875)
alpha^145  |  1011011111 (decimal: 735)
alpha^146  |  0110110111 (decimal: 439)
alpha^147  |  1101101110 (decimal: 878)
alpha^148  |  1011010101 (decimal: 725)
alpha^149  |  0110100011 (decimal: 419)
alpha^150  |  1101000110 (decimal: 838)
alpha^151  |  1010000101 (decimal: 645)
alpha^152  |  0100000011 (decimal: 259)
alpha^153  |  1000000110 (decimal: 518)
alpha^154  |  0000000101 (decimal: 5)
alpha^155  |  0000001010 (decimal: 10)
alpha^156  |  0000010100 (decimal: 20)
alpha^157  |  0000101000 (decimal: 40)
alpha^158  |  0001010000 (decimal: 80)
alpha^159  |  0010100000 (decimal: 160)
alpha^160  |  0101000000 (decimal: 320)
alpha^161  |  1010000000 (decimal: 640)
alpha^162  |  0100001001 (decimal: 265)
alpha^163  |  1000010010 (decimal: 530)
alpha^164  |  0000101101 (decimal: 45)
alpha^165  |  0001011010 (decimal: 90)
alpha^166  |  0010110100 (decimal: 180)
alpha^167  |  0101101000 (decimal: 360)
alpha^168  |  1011010000 (decimal: 720)
alpha^169  |  0110101001 (decimal: 425)
alpha^170  |  1101010010 (decimal: 850)
alpha^171  |  1010101101 (decimal: 685)
alpha^172  |  0101010011 (decimal: 339)
alpha^173  |  1010100110 (decimal: 678)
alpha^174  |  0101000101 (decimal: 325)
alpha^175  |  1010001010 (decimal: 650)
alpha^176  |  0100011101 (decimal: 285)
alpha^177  |  1000111010 (decimal: 570)
alpha^178  |  0001111101 (decimal: 125)
alpha^179  |  0011111010 (decimal: 250)
alpha^180  |  0111110100 (decimal: 500)
alpha^181  |  1111101000 (decimal: 1000)
alpha^182  |  1111011001 (decimal: 985)
alpha^183  |  1110111011 (decimal: 955)
alpha^184  |  1101111111 (decimal: 895)
alpha^185  |  1011110111 (decimal: 759)
alpha^186  |  0111100111 (decimal: 487)
alpha^187  |  1111001110 (decimal: 974)
alpha^188  |  1110010101 (decimal: 917)
alpha^189  |  1100100011 (decimal: 803)
alpha^190  |  1001001111 (decimal: 591)
alpha^191  |  0010010111 (decimal: 151)
alpha^192  |  0100101110 (decimal: 302)
alpha^193  |  1001011100 (decimal: 604)
alpha^194  |  0010110001 (decimal: 177)
alpha^195  |  0101100010 (decimal: 354)
alpha^196  |  1011000100 (decimal: 708)
alpha^197  |  0110000001 (decimal: 385)
alpha^198  |  1100000010 (decimal: 770)
alpha^199  |  1000001101 (decimal: 525)
alpha^200  |  0000010011 (decimal: 19)
alpha^201  |  0000100110 (decimal: 38)
alpha^202  |  0001001100 (decimal: 76)
alpha^203  |  0010011000 (decimal: 152)
alpha^204  |  0100110000 (decimal: 304)
alpha^205  |  1001100000 (decimal: 608)
alpha^206  |  0011001001 (decimal: 201)
alpha^207  |  0110010010 (decimal: 402)
alpha^208  |  1100100100 (decimal: 804)
alpha^209  |  1001000001 (decimal: 577)
alpha^210  |  0010001011 (decimal: 139)
alpha^211  |  0100010110 (decimal: 278)
alpha^212  |  1000101100 (decimal: 556)
alpha^213  |  0001010001 (decimal: 81)
alpha^214  |  0010100010 (decimal: 162)
alpha^215  |  0101000100 (decimal: 324)
alpha^216  |  1010001000 (decimal: 648)
alpha^217  |  0100011001 (decimal: 281)
alpha^218  |  1000110010 (decimal: 562)
alpha^219  |  0001101101 (decimal: 109)
alpha^220  |  0011011010 (decimal: 218)
alpha^221  |  0110110100 (decimal: 436)
alpha^222  |  1101101000 (decimal: 872)
alpha^223  |  1011011001 (decimal: 729)
alpha^224  |  0110111011 (decimal: 443)
alpha^225  |  1101110110 (decimal: 886)
alpha^226  |  1011100101 (decimal: 741)
alpha^227  |  0111000011 (decimal: 451)
alpha^228  |  1110000110 (decimal: 902)
alpha^229  |  1100000101 (decimal: 773)
alpha^230  |  1000000011 (decimal: 515)
alpha^231  |  0000001111 (decimal: 15)
alpha^232  |  0000011110 (decimal: 30)
alpha^233  |  0000111100 (decimal: 60)
alpha^234  |  0001111000 (decimal: 120)
alpha^235  |  0011110000 (decimal: 240)
alpha^236  |  0111100000 (decimal: 480)
alpha^237  |  1111000000 (decimal: 960)
alpha^238  |  1110001001 (decimal: 905)
